model,layer,direction,rank,token_id,token,meaning,in_lexicon
deepseek-coder-6.7b,31,negative,0,19052,错误,higher under the OUTER binding,0
deepseek-coder-6.7b,31,negative,1,4564, fail,higher under the OUTER binding,0
deepseek-coder-6.7b,31,negative,2,4347, wrong,higher under the OUTER binding,0
deepseek-coder-6.7b,31,negative,3,4014,error,higher under the OUTER binding,0
deepseek-coder-6.7b,31,negative,4,2179, error,higher under the OUTER binding,0
deepseek-coder-6.7b,31,negative,5,25917, ERROR,higher under the OUTER binding,0
deepseek-coder-6.7b,31,negative,6,16156,fail,higher under the OUTER binding,0
deepseek-coder-6.7b,31,negative,7,23470,undefined,higher under the OUTER binding,0
deepseek-coder-6.7b,31,negative,8,10978,ERROR,higher under the OUTER binding,0
deepseek-coder-6.7b,31,negative,9,10307,wr,higher under the OUTER binding,0
deepseek-coder-6.7b,31,negative,10,8632, impossible,higher under the OUTER binding,0
deepseek-coder-6.7b,31,negative,11,19798, ERR,higher under the OUTER binding,0
deepseek-coder-6.7b,31,negative,12,9124, failure,higher under the OUTER binding,0
deepseek-coder-6.7b,31,negative,13,12046, undefined,higher under the OUTER binding,0
deepseek-coder-6.7b,31,negative,14,8198,ERR,higher under the OUTER binding,0
deepseek-coder-6.7b,31,negative,15,3419,Error,higher under the OUTER binding,0
deepseek-coder-6.7b,31,negative,16,5467, reference,higher under the OUTER binding,1
deepseek-coder-6.7b,31,negative,17,8509,REF,higher under the OUTER binding,0
deepseek-coder-6.7b,31,negative,18,27553, HAL,higher under the OUTER binding,0
deepseek-coder-6.7b,31,negative,19,7968,bound,higher under the OUTER binding,0
deepseek-coder-6.7b,31,negative,20,31755,FALSE,higher under the OUTER binding,0
deepseek-coder-6.7b,31,negative,21,14589,NULL,higher under the OUTER binding,0
deepseek-coder-6.7b,31,negative,22,5533,错,higher under the OUTER binding,0
deepseek-coder-6.7b,31,negative,23,7014,depend,higher under the OUTER binding,0
deepseek-coder-6.7b,7,positive,0,19911, provisions,higher under the INNER binding,0
deepseek-coder-6.7b,7,positive,1,10015, Soc,higher under the INNER binding,0
deepseek-coder-6.7b,7,positive,2,28872,Tell,higher under the INNER binding,0
deepseek-coder-6.7b,7,positive,3,21937,(--,higher under the INNER binding,0
deepseek-coder-6.7b,7,positive,4,10520,Fol,higher under the INNER binding,0
deepseek-coder-6.7b,7,positive,5,6661,.--,higher under the INNER binding,0
deepseek-coder-6.7b,7,positive,6,4922,ema,higher under the INNER binding,0
deepseek-coder-6.7b,7,positive,7,13164, Boston,higher under the INNER binding,0
deepseek-coder-6.7b,7,positive,8,20947,erable,higher under the INNER binding,0
deepseek-coder-6.7b,7,positive,9,19442,hbox,higher under the INNER binding,0
deepseek-coder-6.7b,7,positive,10,10572,law,higher under the INNER binding,0
deepseek-coder-6.7b,7,positive,11,31398,Sant,higher under the INNER binding,0
deepseek-coder-6.7b,7,positive,12,28885,bolt,higher under the INNER binding,0
deepseek-coder-6.7b,7,positive,13,14948, Bol,higher under the INNER binding,0
deepseek-coder-6.7b,7,positive,14,9792, Corpor,higher under the INNER binding,0
deepseek-coder-6.7b,7,positive,15,2153,bol,higher under the INNER binding,0
deepseek-coder-6.7b,7,positive,16,13331, issued,higher under the INNER binding,0
deepseek-coder-6.7b,7,positive,17,28035,Af,higher under the INNER binding,0
deepseek-coder-6.7b,7,positive,18,19309, folders,higher under the INNER binding,0
deepseek-coder-6.7b,7,positive,19,18293,iah,higher under the INNER binding,0
deepseek-coder-6.7b,7,positive,20,10063, Fol,higher under the INNER binding,0
deepseek-coder-6.7b,7,positive,21,12437, drew,higher under the INNER binding,0
deepseek-coder-6.7b,7,positive,22,31213,arming,higher under the INNER binding,0
deepseek-coder-6.7b,7,positive,23,16400,HR,higher under the INNER binding,0
deepseek-coder-6.7b,7,negative,0,24636,poly,higher under the OUTER binding,0
deepseek-coder-6.7b,7,negative,1,4200,ya,higher under the OUTER binding,0
deepseek-coder-6.7b,7,negative,2,13575,TL,higher under the OUTER binding,0
deepseek-coder-6.7b,7,negative,3,8353,seg,higher under the OUTER binding,0
deepseek-coder-6.7b,7,negative,4,25366,guide,higher under the OUTER binding,0
deepseek-coder-6.7b,7,negative,5,24539,mix,higher under the OUTER binding,0
deepseek-coder-6.7b,7,negative,6,23634,bench,higher under the OUTER binding,0
deepseek-coder-6.7b,7,negative,7,26156, Mix,higher under the OUTER binding,0
deepseek-coder-6.7b,7,negative,8,25644,fp,higher under the OUTER binding,0
deepseek-coder-6.7b,7,negative,9,29249,Mix,higher under the OUTER binding,0
deepseek-coder-6.7b,7,negative,10,1652,主,higher under the OUTER binding,0
deepseek-coder-6.7b,7,negative,11,5956,oni,higher under the OUTER binding,0
deepseek-coder-6.7b,7,negative,12,22986,rise,higher under the OUTER binding,0
deepseek-coder-6.7b,7,negative,13,5534,香,higher under the OUTER binding,0
deepseek-coder-6.7b,7,negative,14,7375, flat,higher under the OUTER binding,0
deepseek-coder-6.7b,7,negative,15,877,gr,higher under the OUTER binding,0
deepseek-coder-6.7b,7,negative,16,12612,grat,higher under the OUTER binding,0
deepseek-coder-6.7b,7,negative,17,6733, increasing,higher under the OUTER binding,0
deepseek-coder-6.7b,7,negative,18,25198,adic,higher under the OUTER binding,0
deepseek-coder-6.7b,7,negative,19,19901,collection,higher under the OUTER binding,0
deepseek-coder-6.7b,7,negative,20,18129, hack,higher under the OUTER binding,0
deepseek-coder-6.7b,7,negative,21,10727, segment,higher under the OUTER binding,0
deepseek-coder-6.7b,7,negative,22,19227, cha,higher under the OUTER binding,0
deepseek-coder-6.7b,7,negative,23,11103,bot,higher under the OUTER binding,0
